product_id,product_name,product_category,product_weight_g,product_volume_cm3,price_inr,fragility_level,temperature_sensitivity,moisture_sensitivity,shelf_life_days,packaging_format,current_packaging_material
PRD0063,Parle Pasta 1000 g,Food,1000,2112.63,201.17,Low,Low,Medium,240,Pouch,Cellulose Film
PRD0064,Dettol Handwash 750 ml v2,Personal Care,750,846.45,158.49,Low,Low,Medium,720,Pouch,HDPE Plastic
PRD0065,Odonil Surface Cleaner 1000 ml,Home Care,1000,1040.75,166.17,Low,Low,Low,720,Bottle,HDPE Plastic
PRD0066,Kissan Noodles 280 g,Food,280,366.27,62.61,Low,Low,Medium,240,Pouch,Cellulose Film
PRD0067,Rajdhani Salt 1000 g,Grocery,1000,2129.08,31.01,Low,Low,Low,365,Bag,Kraft Paper (Unbleached)
PRD0068,Vim Floor Cleaner 500 ml,Home Care,500,532.73,67.81,Low,Low,Low,720,Pouch,HDPE Plastic
PRD0069,Lux Body Wash 400 ml v2,Personal Care,400,425.81,208.67,Low,Low,Medium,720,Pouch,LDPE Plastic
PRD0070,India Gate Rice 1000 g,Grocery,1000,2259.88,60.73,Low,Low,Low,365,Pouch,LDPE Plastic
PRD0071,Clinic Plus Handwash 750 ml,Personal Care,750,782.33,179.06,Low,Low,Medium,720,Pouch,HDPE Plastic
PRD0072,Good Knight Surface Cleaner 1000 ml,Home Care,1000,1124.89,158.38,Low,Low,Low,720,Bag,HDPE Plastic
PRD0073,Haldiram Pasta 500 g,Food,500,786.71,101.24,Low,Low,Medium,240,Wrapper,Cellulose Film
PRD0074,Surf Excel Detergent 1000 g,Home Care,1000,2269.01,204.97,Low,Low,Low,720,Bottle,HDPE Plastic
PRD0075,Tata Tea 100 g,Grocery,100,206.21,52.2,Low,Low,High,365,Pouch,PP Plastic
PRD0076,Lux Shampoo 180 ml,Personal Care,180,194.19,91.83,Low,Low,Medium,720,Bottle,HDPE Plastic
PRD0077,Bingo Noodles 280 g,Food,280,446.82,59.8,Low,Low,Medium,240,Pouch,Paperboard (Folding Carton)
PRD0078,24 Mantra Oil 500 g,Grocery,500,824.14,79.24,Medium,Low,Low,540,Bottle,Glass (Soda-Lime)
PRD0079,Samsung Charger 18W,Electronics,87.82,240.99,699,Medium,Low,Low,365,Box,Paperboard (Folding Carton)
PRD0080,Paper Boat Juice 1000 ml,Beverages,1000,1084.06,121.28,Medium,Medium,Low,120,Bottle,PET Plastic
PRD0081,Odonil Detergent 2000 g,Home Care,2000,4690.66,382.04,Low,Low,Low,720,Bottle,HDPE Plastic
PRD0082,The Body Shop Perfume 100 ml,Cosmetics,100,108.53,822.61,Medium,Low,Medium,1095,Box,Paperboard (Folding Carton)
PRD0083,Pears Conditioner 180 ml,Personal Care,180,196.24,104.23,Low,Low,Medium,720,Bottle,LDPE Plastic
PRD0084,Bingo Noodles 70 g,Food,70,150.29,12.9,Low,Low,Medium,240,Pouch,Cellulose Film
PRD0085,Bingo Sauce 1000 g,Food,1000,2131.76,166.66,Medium,Low,Low,540,Bottle,Glass (Soda-Lime)
PRD0086,Realme Smartphone Budget,Electronics,202.09,382.77,13999,High,Low,Low,365,Box,Molded Pulp
PRD0087,Sony Charger 30W,Electronics,135.64,288.27,1099,Medium,Low,Low,365,Box,Paperboard (Folding Carton)
PRD0088,Britannia Dairy Cheese 500 g,Dairy,500,1090.12,168.16,Medium,High,High,180,Box,Paperboard (Folding Carton)
PRD0089,Coca-Cola Soda 1000 ml,Beverages,1000,1099.44,101.9,Medium,Medium,Low,180,Bottle,PET Plastic
PRD0090,Cadbury Noodles 140 g,Food,140,210.73,30.77,Low,Low,Medium,240,Box,Paperboard (Folding Carton)
PRD0091,Milky Mist Cheese 500 g,Dairy,500,933.42,196.83,Medium,High,High,180,Box,Paperboard (Folding Carton)
PRD0092,Sunfeast Pasta 1000 g,Food,1000,2164.36,203.8,Low,Low,Medium,240,Wrapper,Paperboard (Folding Carton)
PRD0093,Nestlé Pasta 1000 g v2,Food,1000,1920.72,192.68,Low,Low,Medium,240,Pouch,Cellulose Film
PRD0094,Lay's Dry Fruits 500 g,Food,500,663.64,452.3,Low,Low,Medium,240,Box,Cellulose Film
PRD0095,Dolo Antiseptic 500 ml,Healthcare,500,541.98,262.15,Medium,Medium,Medium,730,Bottle,HDPE Plastic
PRD0096,L'Oréal Compact 6 g,Cosmetics,6,9.7,598.05,Medium,Low,Medium,1095,Bottle,Glass (Soda-Lime)
PRD0097,Parle Chips 30 g,Food,30,46.18,10.04,Low,Low,Medium,240,Box,Cellulose Film
PRD0098,Haldiram Chocolate 80 g,Food,80,134.85,63.82,Low,Medium,High,365,Box,Paperboard (Folding Carton)
PRD0099,Clinic Plus Toothpaste 100 g,Personal Care,100,121.41,54.14,Low,Low,Medium,720,Tube,HDPE Plastic
PRD0100,Real Energy Drink 500 ml,Beverages,500,520.48,136.86,Medium,Medium,Low,365,Bottle,PET Plastic
PRD0101,boAt Earphones Wired,Electronics,27.16,160.8,699,Medium,Low,Low,365,Box,Paperboard (Folding Carton)
PRD0102,Good Knight Insect Repellent 45 g,Home Care,45,77.6,28.81,Low,Low,Low,720,Can,Aluminum (Primary)
PRD0103,Paper Boat Coffee 500 g,Beverages,500,638,235.98,Medium,Medium,Low,365,Box,Glass (Soda-Lime)
PRD0104,Saffola Spices 50 g v2,Grocery,50,66.22,29.76,Low,Low,High,365,Pouch,LDPE Plastic
PRD0105,Vim Air Freshener 150 g v2,Home Care,150,184.38,39.51,Low,Low,Low,720,Bottle,HDPE Plastic
PRD0106,Good Knight Insect Repellent 60 g v2,Home Care,60,72.63,28.94,Low,Low,Low,720,Bottle,Aluminum (Primary)
PRD0107,Soframycin Ointment 15 g,Healthcare,15,20.81,179.32,Medium,Medium,Medium,540,Tube,HDPE Plastic
PRD0108,Tata Honey 500 g,Grocery,500,693.66,240.09,Medium,Low,Low,540,Bottle,Glass (Soda-Lime)
PRD0109,Sprite Coffee 500 g,Beverages,500,945.3,233.52,Medium,Medium,Low,365,Box,Glass (Soda-Lime)
PRD0110,Odonil Insect Repellent 45 g,Home Care,45,96.49,32.41,Low,Low,Low,720,Bottle,HDPE Plastic
PRD0111,Bingo Biscuits 1000 g,Food,1000,2173.12,119.36,Low,Low,Medium,240,Wrapper,LDPE Plastic
PRD0112,Britannia Noodles 280 g,Food,280,458.69,58.01,Low,Low,Medium,240,Box,LDPE Plastic
PRD0113,Rajdhani Rice 5000 g,Grocery,5000,11416.13,335.02,Low,Low,Low,365,Bag,Kraft Paper (Unbleached)
PRD0114,Bisleri Coffee 50 g,Beverages,50,75.73,53.95,Medium,Medium,Low,365,Pouch,Glass (Soda-Lime)
PRD0115,Odonil Floor Cleaner 1000 ml,Home Care,1000,1116.64,121.57,Low,Low,Low,720,Bottle,LDPE Plastic
PRD0116,Ariel Insect Repellent 90 g,Home Care,90,145.12,33.32,Low,Low,Low,720,Can,Aluminum (Primary)
PRD0117,ITC Dry Fruits 500 g,Food,500,790.81,517.06,Low,Low,Medium,240,Pouch,Paperboard (Folding Carton)
PRD0118,Benadryl Tablets 30 tablets,Healthcare,25.73,33.22,89.13,Medium,Medium,Medium,730,Box,PVC Plastic
PRD0119,Apple Power Bank 10000mAh,Electronics,273.89,369.1,1599,Medium,Low,Low,365,Box,Corrugated Cardboard
PRD0120,Surf Excel Dishwash Liquid 500 ml,Home Care,500,550.22,87.05,Low,Low,Low,720,Bottle,HDPE Plastic
PRD0121,Parle Namkeen 1000 g,Food,1000,1477.87,248,Low,Low,Medium,240,Box,Paperboard (Folding Carton)
PRD0122,Nestlé Pasta 1000 g v3,Food,1000,1493.5,169.12,Low,Low,Medium,240,Box,LDPE Plastic
PRD0123,Realme Earphones Wired,Electronics,24.74,190.51,699,Medium,Low,Low,365,Box,Paperboard (Folding Carton)
PRD0124,Nestlé Cereal 250 g,Food,250,344.64,99.81,Low,Low,Medium,240,Pouch,Paperboard (Folding Carton)
PRD0125,Dolo Capsules 20 tablets v2,Healthcare,13.65,26.93,158,Medium,Medium,Medium,730,Box,Paperboard (Folding Carton)
PRD0126,Clinic Plus Conditioner 90 ml,Personal Care,90,96.44,56.19,Low,Low,Medium,720,Pouch,HDPE Plastic
PRD0127,Patanjali Salt 500 g,Grocery,500,1014.91,14.54,Low,Low,Low,365,Bag,PP Plastic
PRD0128,Parle Dry Fruits 100 g,Food,100,188.69,102.16,Low,Low,Medium,240,Wrapper,Cellulose Film
PRD0129,Maaza Mineral Water 2000 ml,Beverages,2000,2125.83,91.49,Medium,Medium,Low,365,Can,Aluminum (Primary)
PRD0130,Pears Handwash 750 ml,Personal Care,750,818.16,169.53,Low,Low,Medium,720,Pouch,LDPE Plastic
PRD0131,Rajdhani Tea 100 g v2,Grocery,100,203.13,54.64,Low,Low,High,365,Bag,PP Plastic
PRD0132,Haldiram Jam 200 g,Food,200,396.92,57.3,Medium,Low,Low,540,Jar,PET Plastic
PRD0133,Patanjali Honey 1000 g,Grocery,1000,1355.58,489.87,Medium,Low,Low,540,Bottle,PET Plastic
PRD0134,MDH Salt 1000 g,Grocery,1000,1540.9,27.79,Low,Low,Low,365,Pouch,LDPE Plastic
PRD0135,Cadbury Chips 50 g,Food,50,76.9,15.71,Low,Low,Medium,240,Pouch,LDPE Plastic
PRD0136,Parle Noodles 280 g,Food,280,578.62,55.72,Low,Low,Medium,240,Pouch,LDPE Plastic
PRD0137,Betadine Bandage 2 roll,Healthcare,127.03,264.23,45.03,Medium,Medium,Medium,1095,Bottle,Paperboard (Folding Carton)
PRD0138,Sprite Energy Drink 250 ml,Beverages,250,263.25,65.08,Medium,Medium,Low,365,Can,Aluminum (Primary)
PRD0139,Aashirvaad Pickle 500 g,Grocery,500,619.15,124.23,Medium,Low,Low,540,Bottle,PET Plastic
PRD0140,Benadryl Capsules 30 tablets,Healthcare,25.92,49.83,168.37,Medium,Medium,Medium,730,Blister,PVC Plastic
PRD0141,Coca-Cola Juice 1000 ml,Beverages,1000,1061.76,110.44,Medium,Medium,Low,120,Bottle,PET Plastic
PRD0142,Tropicana Soft Drink 250 ml,Beverages,250,261.98,23.42,Medium,Medium,Low,180,Bottle,PET Plastic
PRD0143,Saffola Oil 1000 g,Grocery,1000,1236.62,169.88,Medium,Low,Low,540,Jar,Glass (Soda-Lime)
PRD0144,Britannia Dairy Lassi 500 ml,Dairy,500,552.05,19.17,Medium,High,High,10,Bottle,LDPE Plastic
PRD0145,Dettol Syrup 200 ml,Healthcare,200,211.49,129.92,Medium,Medium,Medium,540,Bottle,HDPE Plastic
PRD0146,Ariel Floor Cleaner 500 ml,Home Care,500,516.36,59.15,Low,Low,Low,720,Bag,HDPE Plastic
PRD0147,Colin Dishwash Liquid 500 ml,Home Care,500,517.74,89.28,Low,Low,Low,720,Pouch,LDPE Plastic
PRD0148,Milky Mist Yogurt 150 g,Dairy,150,215.58,10,Medium,High,High,20,Cup,PP Plastic
PRD0149,Everest Rice 10000 g,Grocery,10000,24710.93,547.59,Low,Low,Low,365,Bag,Kraft Paper (Unbleached)
PRD0150,MDH Oil 1000 g,Grocery,1000,2001.26,149.54,Medium,Low,Low,540,Bottle,PET Plastic
PRD0151,Betadine Antiseptic 500 ml,Healthcare,500,561.84,264.55,Medium,Medium,Medium,730,Bottle,HDPE Plastic
PRD0152,Britannia Dairy Yogurt 400 g,Dairy,400,662.14,13.73,Medium,High,High,20,Cup,Paperboard (Folding Carton)
PRD0153,Lakmé Gel 100 g,Cosmetics,100,143.42,101.62,Low,Low,Medium,720,Tube,HDPE Plastic
PRD0154,Dabur Body Wash 400 ml v3,Personal Care,400,454.68,186.71,Low,Low,Medium,720,Pouch,LDPE Plastic
PRD0155,Mother Dairy Yogurt 150 g,Dairy,150,327.14,10,Medium,High,High,20,Cup,PP Plastic
PRD0156,Everest Honey 1000 g,Grocery,1000,1918.54,437.77,Medium,Low,Low,540,Bottle,PET Plastic
PRD0157,Maaza Iced Tea 250 ml,Beverages,250,266.39,22.28,Medium,Medium,Low,180,Bottle,PET Plastic
PRD0158,Rajdhani Tea 500 g,Grocery,500,657.59,226.3,Low,Low,High,365,Pouch,LDPE Plastic
PRD0159,Amul Yogurt 150 g,Dairy,150,258.89,10,Medium,High,High,20,Cup,PP Plastic
PRD0160,L'Oréal Gel 100 g,Cosmetics,100,205.45,90.94,Low,Low,Medium,720,Tube,HDPE Plastic
PRD0161,Mother Dairy Butter 200 g,Dairy,200,275.01,53.67,Medium,High,High,180,Wrapper,LDPE Plastic
PRD0162,Plum Perfume 100 ml,Cosmetics,100,113.52,851.88,Medium,Low,Medium,1095,Box,Glass (Soda-Lime)
PRD0163,Head & Shoulders Face Wash 100 g,Personal Care,100,156.59,90.01,Low,Low,Medium,720,Tube,HDPE Plastic
PRD0164,Kissan Dry Fruits 500 g,Food,500,873.07,472.87,Low,Low,Medium,240,Wrapper,Cellulose Film
PRD0165,Harpic Toilet Cleaner 500 ml,Home Care,500,541.08,70.37,Low,Low,Low,720,Bottle,HDPE Plastic
PRD0166,Amul Curd 200 ml,Dairy,200,208.17,10,Medium,High,High,7,Bottle,HDPE Plastic
PRD0167,Maybelline Cream 100 g v2,Cosmetics,100,161.92,130.98,Low,Low,Medium,720,Tube,HDPE Plastic
PRD0168,Odonil Surface Cleaner 500 ml,Home Care,500,533,88.56,Low,Low,Low,720,Bag,HDPE Plastic
PRD0169,Britannia Dry Fruits 100 g,Food,100,171.8,82.13,Low,Low,Medium,240,Pouch,Cellulose Film
PRD0170,Aashirvaad Pulses 500 g,Grocery,500,1006.68,66.47,Low,Low,Low,365,Bag,LDPE Plastic
PRD0171,Betadine Cream 50 g,Healthcare,50,107.51,188.19,Medium,Medium,Medium,540,Tube,HDPE Plastic
PRD0172,Lakmé Lipstick 5 g v2,Cosmetics,5,9.34,633.88,Low,Low,Medium,1095,Box,Paperboard (Folding Carton)
PRD0173,Sprite Soda 250 ml,Beverages,250,257.58,22.78,Medium,Medium,Low,180,Bottle,PET Plastic
PRD0174,Head & Shoulders Lotion 100 ml,Personal Care,100,107.78,69.06,Low,Low,Medium,720,Bottle,LDPE Plastic
PRD0175,Himalaya Conditioner 90 ml v2,Personal Care,90,101.61,44.9,Low,Low,Medium,720,Pouch,HDPE Plastic
PRD0176,Rajdhani Pickle 1000 g,Grocery,1000,1350.96,201.76,Medium,Low,Low,540,Jar,Glass (Soda-Lime)
PRD0177,Mamaearth Serum 50 ml,Cosmetics,50,100.43,932.05,Low,Low,Medium,730,Bottle,HDPE Plastic
PRD0178,India Gate Sugar 1000 g,Grocery,1000,1673.5,46.91,Low,Low,Low,365,Bag,PP Plastic
PRD0179,Everest Pickle 500 g,Grocery,500,775.97,101.04,Medium,Low,Low,540,Jar,PET Plastic
PRD0180,Saffola Flour 2000 g,Grocery,2000,4843.08,108.65,Low,Low,Low,365,Pouch,Kraft Paper (Unbleached)
PRD0181,Odonil Toilet Cleaner 500 ml,Home Care,500,525.16,75.61,Low,Low,Low,720,Bag,LDPE Plastic
PRD0182,Dolo Capsules 30 tablets,Healthcare,23.87,39.56,180.44,Medium,Medium,Medium,730,Blister,Paperboard (Folding Carton)
PRD0183,Cadbury Pasta 500 g,Food,500,1097.71,93.5,Low,Low,Medium,240,Wrapper,Cellulose Film
PRD0184,Milky Mist Buttermilk 1000 ml,Dairy,1000,1117.13,44.37,Medium,High,High,7,Pouch,HDPE Plastic
PRD0185,Sugar Cosmetics Perfume 50 ml,Cosmetics,50,53.91,878.66,Medium,Low,Medium,1095,Box,Paperboard (Folding Carton)
PRD0186,Ariel Air Freshener 150 g,Home Care,150,240.79,37.29,Low,Low,Low,720,Can,Aluminum (Primary)
PRD0187,Clinic Plus Lotion 100 ml v2,Personal Care,100,103.61,73.86,Low,Low,Medium,720,Bottle,HDPE Plastic
PRD0188,Colin Toilet Cleaner 1000 ml,Home Care,1000,1043.67,145.73,Low,Low,Low,720,Pouch,LDPE Plastic
PRD0189,Britannia Pasta 500 g,Food,500,799.84,103.08,Low,Low,Medium,240,Wrapper,Cellulose Film
PRD0190,Red Bull Iced Tea 1000 ml,Beverages,1000,1106.54,97.94,Medium,Medium,Low,180,Bottle,PET Plastic
PRD0191,Himalaya Toothpaste 150 g v2,Personal Care,150,185.22,75.64,Low,Low,Medium,720,Tube,HDPE Plastic
PRD0192,Odonil Dishwash Liquid 1000 ml,Home Care,1000,1092.87,177.56,Low,Low,Low,720,Bag,HDPE Plastic
PRD0193,Nestlé Pasta 1000 g,Food,1000,1777.35,193.71,Low,Low,Medium,240,Wrapper,Paperboard (Folding Carton)
PRD0194,HP Smartphone Midrange,Electronics,189.77,452.16,24999,High,Low,Low,365,Box,Corrugated Cardboard
PRD0195,Maybelline Gel 50 g,Cosmetics,50,83.87,51.03,Low,Low,Medium,720,Tube,HDPE Plastic
PRD0196,Britannia Dairy Buttermilk 1000 ml,Dairy,1000,1062.94,41.66,Medium,High,High,7,Pouch,HDPE Plastic
PRD0197,Heritage Yogurt 85 g,Dairy,85,116.14,10,Medium,High,High,20,Cup,Paperboard (Folding Carton)
PRD0198,Rajdhani Salt 500 g,Grocery,500,994.32,14.69,Low,Low,Low,365,Pouch,PP Plastic
PRD0199,Fortune Pulses 2000 g,Grocery,2000,4061.11,243.22,Low,Low,Low,365,Pouch,LDPE Plastic
PRD0200,Cadbury Dry Fruits 200 g,Food,200,351.39,192.81,Low,Low,Medium,240,Wrapper,Cellulose Film
PRD0201,Himalaya Toothpaste 150 g,Personal Care,150,205,83.41,Low,Low,Medium,720,Tube,HDPE Plastic
PRD0202,Maaza Iced Tea 1000 ml,Beverages,1000,1092,85.3,Medium,Medium,Low,180,Bottle,PET Plastic
PRD0203,Kissan Cereal 1000 g,Food,1000,1406.83,351.76,Low,Low,Medium,240,Box,LDPE Plastic
PRD0204,Nestlé Biscuits 500 g v2,Food,500,892.09,61.54,Low,Low,Medium,240,Pouch,LDPE Plastic
PRD0205,Dove Body Wash 200 ml v2,Personal Care,200,215.45,109.87,Low,Low,Medium,720,Bottle,HDPE Plastic
PRD0206,Britannia Dairy Lassi 1000 ml,Dairy,1000,1110.98,40.71,Medium,High,High,10,Bottle,LDPE Plastic
PRD0207,JBL Earphones TWS,Electronics,67.46,109.73,1699,Medium,Low,Low,365,Box,Paperboard (Folding Carton)
PRD0208,Dove Lotion 200 ml,Personal Care,200,229.34,137.88,Low,Low,Medium,720,Bottle,HDPE Plastic
PRD0209,Everest Tea 250 g,Grocery,250,328.45,125.93,Low,Low,High,365,Bag,Kraft Paper (Unbleached)
PRD0210,Lizol Surface Cleaner 500 ml,Home Care,500,525.17,77.38,Low,Low,Low,720,Bag,LDPE Plastic
PRD0211,Everest Flour 5000 g,Grocery,5000,11928.95,269.2,Low,Low,Low,365,Bag,PP Plastic
PRD0212,HP Laptop 15-inch,Electronics,1283.66,4634.65,64999,High,Low,Low,365,Box,Corrugated Cardboard
PRD0213,Fortune Sugar 5000 g,Grocery,5000,12359.05,230.73,Low,Low,Low,365,Bag,PP Plastic
PRD0214,Red Bull Mineral Water 1000 ml,Beverages,1000,1108.02,43.81,Medium,Medium,Low,365,Bottle,PET Plastic
PRD0215,Saffola Spices 50 g v3,Grocery,50,93.05,29.3,Low,Low,High,365,Bag,LDPE Plastic
PRD0216,Mother Dairy Curd 1000 ml,Dairy,1000,1129.66,38.57,Medium,High,High,7,Bottle,HDPE Plastic
PRD0217,Patanjali Flour 5000 g,Grocery,5000,9208.66,300.17,Low,Low,Low,365,Pouch,PP Plastic
PRD0218,Nandini Butter 500 g,Dairy,500,1025.88,141.92,Medium,High,High,180,Box,LDPE Plastic
PRD0219,Nestlé Sauce 200 g,Food,200,284.09,37.7,Medium,Low,Low,540,Bottle,Glass (Soda-Lime)
PRD0220,Sprite Tea 500 g,Beverages,500,683.89,231.4,Medium,Medium,Low,365,Pouch,LDPE Plastic
